Complexity|MSE|Equation
85|1.3049214e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.009684651)))), 3.796843), asinh(plus(plus(pow(g14, 0.32581574), plus(pow(plus(plus(plus(asinh(asinh(plus(plus(plus(pow(g12, 0.40643367), tanh(pow(g5, 0.28889486))), tanh(tanh(pow(plus(g6, relu(g10)), 0.15756379)))), g1))), g11), plus(plus(tanh(sinh(plus(asinh(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 18.885656)), tanh(pow(g9, 0.35913658))))), pow(g2, 0.324859)))), pow(g4, 0.6050008)), pow(g8, 0.4525694))), pow(g19, 0.46378386)), 2.811827), pow(plus(g16, g1), 0.22390407))), sqrtm(mean_g))))), -2.9613695e-5)
86|1.3033134e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.01024327)))), 3.796843), asinh(plus(plus(pow(plus(g2, g14), 0.31506473), plus(pow(plus(plus(asinh(asinh(plus(plus(plus(pow(g12, 0.30393338), tanh(pow(g5, 0.22952102))), plus(pow(plus(g6, relu(plus(g10, g2))), 0.1406858), g19)), pow(g1, 0.32391283)))), g11), plus(plus(tanh(sinh(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 15.886266)), pow(g9, 0.35427845))))), g4), tanh(tanh(tanh(pow(plus(g8, g15), 0.40601164)))))), 2.811827), tanh(pow(plus(plus(g1, g19), g16), 0.25466344)))), 0.10360071)))), -2.8547076e-5)
87|1.3008741e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012742497)))), 3.6955488), asinh(plus(pow(plus(plus(g2, g14), g15), 0.2817083), plus(pow(plus(plus(plus(asinh(asinh(plus(plus(plus(pow(g12, 0.2698242), tanh(plus(pow(g5, 0.22800209), g2))), pow(plus(g6, relu(g10)), 0.15978028)), pow(g1, 0.28672922)))), g11), plus(plus(tanh(sinh(sinh(plus(plus(tanh(mult(plus(plus(g7, g17), g3), 13.375802)), pow(g9, 0.35494286)), g13)))), pow(g4, 0.5339746)), tanh(g8))), pow(g19, 0.4736367)), 2.811827), pow(plus(plus(plus(g1, g18), g16), mean_g), 0.2754004)))))), -3.1157564e-5)
89|1.3004615e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012742497)))), 3.6955488), asinh(plus(pow(plus(plus(g2, g14), g15), 0.2817083), plus(pow(plus(plus(plus(asinh(asinh(plus(plus(plus(pow(g12, 0.31026015), tanh(plus(pow(g5, 0.22800209), g2))), pow(plus(g6, relu(g10)), 0.15914011)), pow(g1, 0.28672922)))), g11), plus(plus(tanh(sinh(sinh(plus(plus(tanh(plus(mult(plus(plus(g7, g17), g3), 13.375802), g13)), pow(g9, 0.35494286)), g13)))), pow(g4, 0.5339746)), tanh(g8))), pow(g19, 0.4736367)), 2.811827), pow(plus(plus(plus(g1, g18), g16), mean_g), 0.2754004)))))), -3.1157564e-5)
90|1.3004577e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012742497)))), 3.6955488), asinh(plus(pow(plus(plus(g2, g14), g15), 0.2817083), plus(pow(plus(plus(plus(asinh(asinh(plus(plus(plus(pow(g12, 0.2698242), tanh(plus(pow(g5, 0.22800209), g2))), pow(plus(g6, relu(g10)), 0.15914011)), pow(g1, 0.28672922)))), g11), plus(plus(tanh(sinh(sinh(plus(plus(tanh(plus(mult(plus(plus(g7, g17), g3), 13.375802), g13)), pow(g9, 0.35494286)), g13)))), pow(asinh(g4), 0.5339746)), asinh(g8))), pow(g19, 0.4736367)), 2.811827), pow(plus(plus(plus(g1, g18), g16), mean_g), 0.2754004)))))), -3.1157564e-5)
91|1.3003812e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.012742497)))), 3.6955488), asinh(plus(pow(plus(plus(g2, g14), g15), 0.2817083), plus(pow(plus(plus(plus(asinh(asinh(plus(plus(plus(pow(g12, 0.2698242), tanh(plus(pow(g5, 0.22800209), g2))), pow(plus(g6, relu(g10)), 0.15914011)), pow(g1, 0.28672922)))), g11), plus(plus(tanh(sinh(sinh(plus(plus(asinh(tanh(plus(mult(plus(plus(g7, g17), g3), 13.375802), g13))), pow(g9, 0.35494286)), g13)))), pow(asinh(g4), 0.5339746)), asinh(g8))), pow(g19, 0.4736367)), 2.811827), pow(plus(plus(plus(g1, g18), g16), mean_g), 0.2754004)))))), -3.1157564e-5)
92|1.298048e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.01023448)))), 3.796843), asinh(plus(plus(pow(mult(g14, 0.15851448), 0.28646657), plus(pow(plus(asinh(plus(plus(tanh(plus(pow(plus(g12, g2), 0.22128582), pow(g5, abs(0.2718737)))), tanh(plus(pow(plus(g6, relu(g10)), 0.200552), g18))), pow(plus(g1, g15), plus(0.30218923, g1)))), plus(plus(tanh(plus(pow(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 16.16736)), pow(g9, 0.36161244))), 1.3806283), pow(g13, 0.44791964))), pow(g4, 0.53855205)), plus(g8, tanh(g14)))), 2.811827), tanh(pow(plus(plus(g1, g19), g16), 0.31109685)))), 0.11656355)))), -3.0332647e-5)
93|1.2975609e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.01023448)))), 3.796843), asinh(plus(plus(pow(mult(g14, 0.16271147), 0.28646657), plus(pow(plus(asinh(plus(plus(tanh(plus(pow(plus(g12, g2), 0.22128582), pow(g5, plus(0.2718737, g3)))), tanh(plus(pow(plus(g6, relu(g10)), 0.200552), g18))), pow(plus(g1, g15), plus(0.30218923, g1)))), plus(plus(tanh(plus(pow(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 16.16736)), pow(g9, 0.36161244))), 1.3806283), pow(g13, 0.44791964))), pow(g4, 0.53855205)), plus(g8, tanh(g14)))), 2.811827), tanh(pow(plus(plus(g1, g19), g16), 0.31109685)))), 0.11656355)))), -3.0332647e-5)
94|1.2973723e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.01023448)))), 3.796843), asinh(plus(plus(pow(mult(g14, 0.16271147), 0.28646657), plus(pow(plus(asinh(plus(plus(tanh(plus(pow(plus(g12, g2), 0.22128582), pow(g5, abs(plus(pow(g3, 0.6810069), 0.2718737))))), tanh(pow(plus(g6, relu(g10)), 0.200552))), pow(plus(g1, g15), plus(g1, 0.30218923)))), plus(plus(tanh(plus(pow(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 16.16736)), pow(g9, 0.36161244))), 1.3806283), pow(g13, 0.44791964))), pow(g4, 0.53855205)), plus(g8, tanh(g14)))), 2.811827), tanh(pow(plus(plus(g1, g19), g16), 0.31109685)))), 0.11656355)))), -3.0332647e-5)
95|1.297137e-5|mult(cube(plus(mult(sign(cube(cube(mult(g0, 0.01023448)))), 3.796843), asinh(plus(plus(pow(mult(g14, 0.16271147), 0.28646657), plus(pow(plus(asinh(plus(plus(tanh(plus(pow(plus(g12, g2), 0.22128582), pow(g5, abs(plus(0.2718737, pow(g3, 0.6810069)))))), tanh(plus(pow(plus(g6, relu(g10)), 0.200552), g18))), pow(plus(g1, g15), plus(0.30218923, g1)))), plus(plus(tanh(plus(pow(sinh(plus(tanh(mult(plus(plus(g7, g17), g3), 16.16736)), pow(g9, 0.36161244))), 1.3806283), pow(g13, 0.44791964))), pow(g4, 0.53855205)), plus(g8, tanh(g14)))), 2.811827), pow(plus(plus(g1, g19), g16), 0.31109685))), 0.11656355)))), -3.0332647e-5)
