Complexity|MSE|Equation
86|1.2470611e-5|mult(plus(plus(cube(tanh(mult(asinh(sinh(plus(sign(g3), sign(g1)))), 0.54912496))), plus(sinh(plus(square(mult(sinh(greater(mult(plus(mean_g, plus(g0, g3)), 0.56836045), plus(greater(mult(plus(plus(t, greater(mult(mean_g2, 0.9317355), t)), mean_g2), 2.7531457), mean_g), t))), -1.1988307)), sinh(sinh(plus(sinh(sinh(pow(tanh(tanh(tanh(tanh(tanh(plus(g2, g4)))))), plus(sqrtm(t), pow(plus(sqrtm(t), t), 1.3733956))))), -0.12631619))))), 0.22613096)), plus(sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 469.3565))))), cube(pow(erfc(t), 1.4571785)))), g1)), -0.0014683551)
87|1.2466102e-5|mult(plus(plus(cube(tanh(mult(asinh(sinh(plus(sign(g3), sign(g1)))), 0.54912496))), plus(sinh(plus(square(mult(sinh(greater(mult(plus(mean_g, plus(g0, g3)), 0.56836045), plus(greater(mult(plus(plus(t, greater(mult(mean_g2, 0.9317355), t)), mean_g2), 2.7531457), mean_g), t))), -1.1988307)), sinh(sinh(plus(sinh(sinh(pow(tanh(tanh(tanh(tanh(tanh(tanh(plus(g2, g4))))))), plus(sqrtm(t), pow(plus(sqrtm(t), t), 1.3733956))))), -0.12631619))))), 0.22613096)), plus(sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 469.3565))))), cube(pow(erfc(t), 1.4571785)))), g1)), -0.0014683551)
88|1.2466102e-5|mult(plus(plus(cube(tanh(mult(asinh(sinh(plus(sign(g3), sign(g1)))), 0.54912496))), plus(sinh(plus(square(mult(sinh(greater(mult(plus(mean_g, plus(g0, g3)), 0.56836045), plus(sqrtm(greater(mult(plus(plus(t, greater(mult(mean_g2, 0.9317355), t)), mean_g2), 2.7531457), mean_g)), t))), -1.1988307)), sinh(sinh(plus(sinh(sinh(pow(tanh(tanh(tanh(tanh(tanh(tanh(plus(g2, g4))))))), plus(sqrtm(t), pow(plus(sqrtm(t), t), 1.3733956))))), -0.12631619))))), 0.22613096)), plus(sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 469.3565))))), cube(pow(erfc(t), 1.4571785)))), g1)), -0.0014683551)
89|1.2458569e-5|mult(plus(plus(cube(tanh(mult(asinh(sinh(plus(sign(g3), sign(g1)))), 0.54912496))), plus(sinh(plus(square(mult(sinh(greater(mult(plus(mean_g, plus(g0, g3)), 0.56836045), plus(greater(mult(plus(plus(t, greater(mult(mean_g2, 0.9317355), t)), mean_g2), 2.7531457), mean_g), t))), -1.1988307)), sinh(sinh(plus(mult(sinh(sinh(pow(tanh(tanh(tanh(tanh(tanh(tanh(plus(g2, g4))))))), plus(sqrtm(t), pow(plus(sqrtm(t), t), 1.3733956))))), 1.0244131), -0.12631619))))), 0.22613096)), plus(sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 469.3565))))), cube(pow(erfc(t), 1.4571785)))), g1)), -0.0014683551)
93|1.2458569e-5|mult(plus(plus(cube(tanh(mult(asinh(sinh(plus(sign(g3), sign(g1)))), 0.54912496))), plus(sinh(plus(square(mult(sinh(greater(mult(plus(mean_g, plus(g0, g3)), tanh(0.6450976)), plus(greater(mult(plus(plus(t, greater(mult(mean_g2, asinh(1.0725211)), t)), mean_g2), 2.7531457), mean_g), t))), -1.1988307)), sinh(sinh(plus(mult(sinh(sinh(pow(tanh(tanh(tanh(tanh(tanh(tanh(plus(g2, g4))))))), plus(sqrtm(t), pow(plus(sqrtm(t), t), 1.3733956))))), 1.0244131), -0.12631619))))), mult(0.11186514, 2.0214605))), plus(sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 469.3565))))), cube(pow(erfc(t), 1.4571785)))), g1)), -0.0014683551)
99|1.2312692e-5|mult(plus(plus(cube(sinh(tanh(cube(mult(asinh(plus(plus(sinh(sign(g3)), sign(plus(plus(g1, g1), mean_g))), -0.081108294)), 0.6594968))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(plus(g1, 0.06305844), 0.23146296), g0), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2584445)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(plus(g2, mult(g4, 0.79234856)))))))))), plus(sqrtm(mult(t, -0.74861616)), sqrtm(plus(mult(t, plus(g1, -0.29916078)), mean_g2))))))), 1.2522846))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 444.64468))))), cube(erfc(t))))), -0.0014793393)
100|1.23100535e-5|mult(plus(plus(cube(sinh(tanh(cube(mult(asinh(plus(plus(sinh(sign(g3)), sign(plus(plus(g1, g1), mean_g))), -0.081108294)), 0.6594968))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(plus(g1, 0.06305844), 0.23146296), g0), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2584445)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(plus(g2, mult(g4, 0.79234856))))))))))), plus(sqrtm(mult(t, -0.74861616)), sqrtm(plus(mult(t, plus(g1, -0.29916078)), mean_g2))))))), 1.2522846))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 444.64468))))), cube(erfc(t))))), -0.0014793393)
101|1.230774e-5|mult(plus(plus(cube(sinh(tanh(cube(mult(asinh(plus(plus(sinh(sign(g3)), sign(plus(plus(g1, g1), mean_g))), -0.081108294)), 0.6594968))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(plus(g1, 0.06305844), 0.23146296), g0), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2584445)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(tanh(plus(g2, mult(g4, 0.79234856)))))))))))), plus(sqrtm(mult(t, 0.73364854)), sqrtm(plus(mult(t, plus(g1, -0.29916078)), mean_g2))))))), 1.2406489))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 444.64468))))), cube(erfc(t))))), -0.0014793393)
102|1.1960605e-5|mult(plus(plus(cube(sinh(tanh(cube(mult(asinh(plus(plus(sinh(plus(sign(g3), g4)), sign(plus(plus(g1, g1), mean_g))), -0.16389984)), 0.6594968))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(g1, 0.5880873), plus(plus(g0, t), t)), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2824311)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(mult(tanh(plus(g2, mult(g4, 0.79234856))), 0.13631696), plus(sqrtm(mult(t, sqrtm(g4))), sqrtm(plus(mult(t, sinh(sinh(plus(abs(g1), -0.36789006)))), mean_g2))))))), 1.2761732))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 465.45035))))), cube(erfc(t))))), -0.0014032727)
103|1.1960605e-5|mult(plus(plus(cube(sinh(tanh(cube(mult(asinh(plus(plus(sinh(plus(sign(g3), g4)), sign(plus(plus(g1, g1), mean_g))), -0.16389984)), 0.6594968))))), sinh(plus(square(plus(sinh(greater(tanh(plus(plus(mult(g1, 0.5880873), plus(plus(g0, t), t)), g3)), greater(mult(plus(plus(t, mean_g2), mult(mean_g2, 2.2824311)), 2.2045941), mean_g))), plus(mean_g, sqrtm(t)))), sinh(pow(sinh(sinh(sinh(pow(mult(tanh(plus(g2, mult(g4, 0.79234856))), square(-0.36921126)), plus(sqrtm(mult(t, sqrtm(g4))), sqrtm(plus(mult(t, sinh(sinh(plus(abs(g1), -0.36789006)))), mean_g2))))))), 1.2761732))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 465.45035))))), cube(erfc(t))))), -0.0014032727)
106|1.1875667e-5|mult(plus(plus(cube(tanh(mult(asinh(plus(sign(g3), sign(plus(plus(g1, g1), relu(g2))))), 0.66724116))), sinh(plus(asinh(tanh(asinh(plus(asinh(greater(plus(mean_g, mult(g1, 1.2985852)), plus(mult(plus(t, mean_g2), 2.0404222), mean_g2))), g1)))), sinh(sinh(sinh(sinh(pow(tanh(tanh(tanh(plus(mult(plus(g2, g0), 1.3515071), plus(plus(g4, mult(g3, 2.7276704)), plus(mult(plus(g2, g4), 5.89249), g1)))))), plus(sinh(plus(sinh(sinh(sinh(sqrtm(mult(greater(mult(plus(plus(t, mean_g2), t), 1.5725465), mean_g), sqrtm(sqrtm(g0))))))), mult(greater(mean_g2, t), 5.54123))), sqrtm(t)))))))))), sinh(mult(sinh(sinh(tanh(asinh(mult(g0, 406.1177))))), cube(erfc(t))))), -0.0014793393)
