Complexity|MSE|Equation
55|1.1740711e-5|mult(pow(relu(mult(pow(g0, cube(exp(g2))), plus(plus(mean_g, -0.14811176), plus(plus(t, plus(plus(t, mean_g2), square(sinh(sinh(sinh(sinh(sinh(sinh(sinh(plus(plus(mult(g1, 1.4520831), g3), plus(g4, g2)))))))))))), square(plus(g0, g0)))))), plus(square(plus(plus(plus(g4, 0.9204408), g3), greater(sign(g0), t))), g1)), 1.0548857)
56|1.1737264e-5|mult(pow(relu(mult(pow(g0, cube(exp(g2))), plus(plus(plus(mean_g, -0.14811176), mean_g2), plus(plus(t, plus(plus(t, mean_g2), square(sinh(sinh(sinh(sinh(sinh(sinh(plus(plus(mult(g1, 1.4520831), g3), plus(g4, g2))))))))))), square(plus(g0, g0)))))), plus(square(plus(plus(plus(g4, 0.9204408), g3), greater(sign(g0), t))), g1)), 1.0548857)
57|1.1733093e-5|mult(pow(relu(mult(pow(g0, cube(exp(g2))), plus(plus(plus(mean_g, -0.14811176), mean_g2), plus(plus(t, plus(plus(t, mean_g2), square(sinh(sinh(sinh(sinh(sinh(sinh(sinh(plus(plus(mult(g1, 1.4520831), g3), plus(g4, g2)))))))))))), square(plus(g0, g0)))))), plus(square(plus(plus(plus(g4, 0.9204408), g3), greater(sign(g0), t))), g1)), 1.0548857)
58|1.1730252e-5|mult(pow(relu(mult(pow(g0, cube(exp(g2))), plus(tanh(plus(plus(mean_g, -0.14811176), mean_g2)), plus(plus(t, plus(plus(t, mean_g2), square(sinh(sinh(sinh(sinh(sinh(sinh(sinh(plus(plus(mult(g1, 1.4520831), g3), plus(g4, g2)))))))))))), square(plus(g0, g0)))))), plus(square(plus(plus(plus(g4, 0.9204408), g3), greater(sign(g0), t))), g1)), 1.0548857)
59|1.1729317e-5|mult(pow(relu(mult(pow(g0, cube(exp(g2))), plus(tanh(plus(plus(mean_g, -0.14811176), mean_g2)), plus(plus(t, plus(plus(t, mean_g2), square(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(plus(plus(mult(g1, 1.4520831), g3), plus(g4, g2))))))))))))), square(plus(g0, g0)))))), plus(square(plus(plus(plus(g4, 0.9204408), g3), greater(sign(g0), t))), g1)), 1.0548857)
65|1.1158612e-5|relu(asinh(abs(mult(mult(relu(mult(plus(mult(-0.13462493, plus(0.8835876, g0)), plus(mult(mean_g, square(plus(pow(1.1595172, mean_g), greater(-0.20358437, g1)))), plus(plus(mult(g4, 0.5871994), t), mean_g2))), tanh(asinh(pow(g0, plus(asinh(plus(pow(plus(mult(g2, 0.75988317), pow(plus(pow(mean_g2, mean_g), t), cube(1.2234948))), square(-1.5384245)), plus(mult(g3, 2.2871373), g1))), mult(t, 3.326694))))))), 0.4729255), plus(g0, 1.8453102)))))
66|1.11479585e-5|relu(asinh(abs(mult(mult(relu(mult(plus(mult(-0.13462493, plus(0.8835876, g0)), plus(mult(mean_g, square(plus(pow(1.1595172, mean_g), greater(-0.20358437, g1)))), plus(plus(mult(g4, 0.5871994), t), mean_g2))), tanh(tanh(asinh(pow(g0, plus(asinh(plus(pow(plus(mult(g2, 0.75988317), pow(plus(pow(mean_g2, mean_g), t), cube(1.2234948))), square(-1.5384245)), plus(mult(g3, 2.2871373), g1))), mult(t, 3.326694)))))))), 0.4729255), plus(g0, 1.8453102)))))
67|1.1133606e-5|relu(abs(mult(mult(relu(mult(plus(mult(plus(mean_g2, -0.13462493), plus(0.8835876, g0)), plus(mult(mean_g, square(plus(pow(0.44598788, mean_g), greater(-0.20358437, g1)))), plus(plus(mult(g4, 0.5871994), t), mean_g2))), tanh(tanh(asinh(pow(g0, plus(asinh(plus(pow(plus(mult(g2, 0.75988317), pow(plus(pow(mean_g2, mean_g), t), cube(1.2234948))), square(1.5640502)), plus(mult(g3, 2.2871373), g1))), mult(t, 3.326694)))))))), -0.4663115), plus(g0, 1.8164059))))
68|1.1128021e-5|relu(asinh(abs(mult(mult(relu(mult(plus(mult(plus(mean_g2, -0.13462493), plus(0.8835876, g0)), plus(mult(mean_g, square(plus(pow(0.44598788, g4), greater(-0.20358437, g1)))), plus(plus(mult(g4, 0.5871994), t), mean_g2))), tanh(tanh(asinh(pow(g0, plus(asinh(plus(pow(plus(mult(g2, 0.75988317), pow(plus(pow(mean_g2, mean_g), t), cube(1.2234948))), square(1.5640502)), plus(mult(g3, 2.2871373), g1))), mult(t, 3.326694)))))))), -0.4663115), plus(g0, 1.8164059)))))
69|1.1123463e-5|relu(asinh(abs(mult(mult(relu(mult(plus(mult(plus(mean_g2, -0.13462493), plus(0.8835876, g0)), plus(mult(mean_g, square(plus(pow(0.44598788, mean_g), greater(-0.20358437, g1)))), plus(plus(mult(g4, 0.5871994), t), mean_g2))), tanh(tanh(tanh(asinh(pow(g0, plus(asinh(plus(pow(plus(mult(g2, 0.75988317), pow(plus(pow(mean_g2, mean_g), t), cube(1.2234948))), square(-1.5729897)), plus(mult(g3, 2.2871373), g1))), mult(t, 3.326694))))))))), -0.4663115), plus(g0, 1.8164059)))))
